Timestamp,A1. Your age (আপনার বয়স) ,A2. You are (আপনি ) ,A3. Your religion(আপনার ধর্ম) ,A4. Your marital status(আপনার বৈবাহিক অবস্থা) ,A5. Where do you live?(আপনি কোথায় বসবাস করেন ?) ,A6. Occupation(পেশা) ,B1. What kind of family do you live in?(আপনি কি ধরনের পরিবারে বসবাস করেন?) ,"B2. How much time do you typically spend with your family each day? (আপনি প্রতিদিন সাধারণ কত সময় আপনার পরিবারের সাথে কাটান?)
____________ Hours(ঘন্টা)","B3. How is your relationship with your family?(আপনার পরিবারের সাথে আপনার সম্পর্ক কেমন?)
",B4. How do you usually feel when meeting people in person?(আপনি কারো সাথে দেখা হলে সাধারণত কেমন অনুভব করেন?) ,C1. What is your height?(আপনার উচ্চতা কত?) ,C2. What is your weight? (আপনার ওজন কত?) ,"C3. How long do you typically sit while watching Facebook Reels?(ফেসবুক রিলস দেখার সময় আপনি সাধারণত কতক্ষণ বসে থাকেন?)
","C4. Do you experience any physical problems (such as headaches, eye strain, back or shoulder pain, etc.) due to watching too much Facebook Reels? (অতিরিক্ত ফেসবুক রিলস দেখার কারণে কি আপনার কোনো শারীরিক সমস্যা (যেমন: মাথাব্যথা, চোখব্যথা, কোমর বা কাঁধে ব্যথা ইত্যাদি)হয়?)
","D1. How long have you been watching Facebook Reels?(আপনি কত দিন থেকে ফেইসবুক  রিলস দেখেন?)
 _________ Years(বছর ) ","D2. How many times do you spend watching Facebook reels?(আপনি প্রতিদিন কতক্ষন রিলস দেখেন?)
","D3. When do you usually watch reels more? (আপনি সাধারণত কখন রিলস বেশী দেখেন?)
","D4. Do you use Facebook Reels while doing other tasks?(আপনি কি রিলস দেখার সময় অন্য কাজও করেন?)
",E1. How many hours do you sleep on average every day?(আপনি প্রতি দিন গড়ে কত ঘন্টা ঘুমান ? ),E2. Do you have trouble sleeping after watching the release?(রিলস  দেখার পর কি আপনার ঘুমের সমস্যা হয়?),E3. Are You Involved with exercise or sports?(আপনি কি ব্যায়াম বা খেলাধুলার সাথে জড়িত?) ,"E4. Do you consume any intoxicating substances such as cigarettes, alcohol, or cannabis?আপনি কি কোনো নেশাজাতীয় দ্রব্য (যেমন সিগারেট, মদ, গাঁজা ইত্যাদি) সেবন করেন?)",F1. Do you feel your attention span has decreased due to watching Reels?(রিলস দেখার কারণে কি আপনার মনোযোগের মাত্রা কমে গেছে বলে মনে হয়?),F2. Has watching reels reduced your memory?(রিলস দেখার ফলে কি আপনার স্মরণশক্তি  কমে  গেছে? ) ,F3. Has your interest in learning or trying new things decreased due to Reels?(রিলস দেখার কারণে কি আপনার শেখার বা নতুন কিছু শিখতে আগ্রহ কমে গেছে?),F4. Do you feel that watching too much Reels affects your work or study performance? (অতিরিক্ত রিলস দেখার কারণে কি আপনার কাজ বা পড়াশোনায় প্রভাব পড়ে?),"G1. Do you experience sudden anger, sadness, anxiety, or mood swings?(আপনি কি হঠাৎ রাগ, দুঃখ, উদ্বেগ বা মন খারাপ অনুভব করেন? )","G2. Do you feel anxious or worried that you are missing out on something when you don’t watch   Reels?(রিলস না দেখলে কি উদ্বিগ্ন বা “FOMO” (Fear of Missing  Out – অন্যরা যা দেখছে বা করছে, তা থেকে বাদ পড়ার ভয়) অনুভব করেন?)
","G3. Do you feel low or compare yourself with others after watching Reels?(ফেসবুক রিলস দেখে কি আপনি অন্যদের সাথে নিজের তুলনা করে হতাশ বা হীনমন্য বোধ করেন?)
",G4. Have you ever isolated yourself from family or friends due to excessive Reels watching?(অতিরিক্ত রিলস দেখার কারণে কি কখনো পরিবার বা বন্ধুদের সঙ্গে সামাজিকভাবে বিচ্ছিন্ন হয়ে পড়েছেন? ),"G5. Do social media or Reels create mental stress for you?(রিলস বা সোশ্যাল মিডিয়ার কারণে কি আপনি মানসিক চাপ অনুভব করেন?)
","G6. Do you sometimes or often experience panic attacks(racing heartbeat, shortness of breath?) (আপনি কি কখনো আতঙ্ক বা প্যানিক অ্যাটাক(দ্রুত হৃদস্পন্দন, শ্বাসকষ্ট) অনুভব করেন?)",G7.What type are you according to your behavior?(আপনার আচরণ অনুযায়ী আপনি কোন ধরণের?) ,"G8.Do you watch reels because of an addiction, even if you don't have the desire to watch them? (আপনার রিলস দেখার ইচ্ছা না থাকলেও আসক্তির কারণে আপনি কি  রিলস দেখেন?) ",H1. Does your mental state change after watching Facebook viral reels?(ফেসবুক এ ভাইরাল রিলস দেখার পরে কি আপনার মানসিক অবস্থার পরিবর্তন হয়?),"H2. Does watching tragic or entertaining content on Facebook Reels have any effect on your mental state (excitement, enthusiasm,anxiety)?(ফেসবুক রিলস এ মর্মান্তিক বা বিনোদনমূলক বিষয়বস্তু দেখলে সেটা কি আপনার মানসিক অবস্থার (যেমন: উত্তেজনা,উদ্দীপনা, উদ্বেগ) উপর কোনো  প্রভাব ফেলে?)
",H3. Do you become distracted or inattentive after watching viral reels on Facebook?(ফেসবুক এ ভাইরাল রিলস দেখার পর আপনি কি বিভ্রান্ত বা অমনোযোগী হয়ে যান?),H4. Does your brain feel extra pressure after watching viral content?(ভাইরাল কনটেন্ট দেখার পর কি আপনার মস্তিষ্কে অতিরিক্ত চাপ অনুভব হয়?),H5. Does watching viral reels on Facebook before bed change your sleep quality?(ঘুমানোর আগে ফেসবুকে ভাইরাল রিলস দেখার কারণে কি আপনার ঘুমের মানের কোনো পরিবর্তন হয়?),H6. Does watching emotional reels make you lose focus on studies or work?(আবেগপ্রবণ রিলস  দেখার পর কি আপনার পড়াশোনা বা কাজের প্রতি মনোযোগ কমে যায়?),"H7. When a viral reel sparks excitement or curiosity in you, do you feel inclined to watch more reels related to that?(যখন কোনো ভাইরাল রিলস আপনার মধ্যে উত্তেজনা বা কৌতূহল জাগিয়ে তোলে, তখন কি আপনি সেই সম্পর্কিত আরও রিলস দেখার জন্য আগ্রহী হন?)"
12/15/2025 0:37:42,24,Male(ছেলে),Islam (ইসলাম),Married (বিবাহিত),Urban Area (শহুরে এলাকা),Student (স্টুডেন্ট),Single family(একক পরিবার ),3,Good (ভালো),Somewhat Comfortable (কিছুটা স্বাচ্ছন্দ্যবোধ করি),5.6,54,30 minutes–1 hour (৩০ মিনিট–১ ঘন্টা),Often (প্রায়ই হয়),1,Less than 1 hour (এক ঘণ্টার কম),Before Sleeping (ঘুমানোর আগে),Sometimes (মাঝে মাঝে),6–8 hours (৬–৮ ঘণ্টা),No (না),Sometimes (মাঝে মাঝে),Used to do before (পূর্বে করতাম),Decreased a little (কিছুটা কমেছে),Decreased a little (কিছুটা কমেছে),Decreased a little (কিছুটা কমেছে),Somewhat negative (কিছুটা নেতিবাচক),Often (প্রায়ই),Never (কখনো না),No (না),No (না),Yes (হ্যাঁ),Sometimes (মাঝে মাঝে),Extrovert (বহির্মুখী),Sometimes (মাঝে মাঝে),Some Change (কিছুটা পরিবর্তন হয়),Negative Impact (নেতিবাচক প্রভাব),Sometimes (মাঝে মাঝে),Moderate Stress (মাঝারি চাপ অনুভব হয়),Slight Change in Sleep Quality (ঘুমের মান কিছুটা পরিবর্তিত হয়),Lose Focus Frequently (অত্যধিক মনোযোগ হারায়),Sometimes Interested (মাঝে মাঝে আগ্রহ হয়)
12/15/2025 0:51:14,28,Male(ছেলে),Islam (ইসলাম),Unmarried (অবিবাহিত),Urban Area (শহুরে এলাকা),Service Holder (চাকুরীজীবী),Joint Family (যৌথ পরিবার),10 min max,Very Good (খুবই ভালো),Neutral (নিরপেক্ষ),"5'6""",169,Less than 30 minutes (৩০ মিনিটের কম),Never (কখনো হয় না),1,Less than 1 hour (এক ঘণ্টার কম),Before Sleeping (ঘুমানোর আগে),"Yes, frequently (হ্যাঁ, প্রায়ই)",6–8 hours (৬–৮ ঘণ্টা),No (না),Rarely (খুব কম),No (না),Decreased a lot (অনেকটা কমেছে),Did not decrease (কমেনি),Did not decrease at all (একেবারেই কমেনি),No effect (কোনো প্রভাব নেই),Sometimes (মাঝে মাঝে),Sometimes (মাঝে মাঝে),No (না),No (না),No (না),Never (কখনো না),Introvert (অন্তর্মুখী),Never (কখনো না),No Change (পরিবর্তন নেই),No Impact (কোনো প্রভাব পড়ে না),Never (কখনো না),No Stress (চাপ অনুভব হয় না),Not Sure (নিশ্চিত না),Do Not Lose Focus (মনোযোগ কমে না),Rarely Interested (খুব কম আগ্রহ হয়)
12/15/2025 0:54:55,25,Female(মেয়ে),Islam (ইসলাম),Unmarried (অবিবাহিত),Urban Area (শহুরে এলাকা),Student (স্টুডেন্ট),Single family(একক পরিবার ),5/6,Very Good (খুবই ভালো),Somewhat Comfortable (কিছুটা স্বাচ্ছন্দ্যবোধ করি),5.1,71,More than 2 hours (২ ঘন্টার বেশি),Sometimes (মাঝে মাঝে হয়),4,More than that (আরো বেশি),Before Sleeping (ঘুমানোর আগে),"Yes, frequently (হ্যাঁ, প্রায়ই)",6–8 hours (৬–৮ ঘণ্টা),Sometimes (মাঝে মাঝে),Never (কখনো না),No (না),Decreased a little (কিছুটা কমেছে),Decreased a little (কিছুটা কমেছে),Decreased a lot (অনেকটা কমেছে),Somewhat negative (কিছুটা নেতিবাচক),Often (প্রায়ই),Always (সবসময়),"Yes, frequently (হ্যাঁ, প্রায়ই)",Sometimes (মাঝে মাঝে),Yes (হ্যাঁ),Sometimes (মাঝে মাঝে),Introvert (অন্তর্মুখী),Always (সবসময়),Some Change (কিছুটা পরিবর্তন হয়),Not Sure (নিশ্চিত না),Sometimes (মাঝে মাঝে),No Stress (চাপ অনুভব হয় না),Not Sure (নিশ্চিত না),Lose Focus Sometimes (মাঝে মাঝে মনোযোগ হারায়),More Interest in Watching Reels (আরও রিলস দেখার আগ্রহ হয়)
12/15/2025 1:01:26,25,Male(ছেলে),Islam (ইসলাম),Married (বিবাহিত),Urban Area (শহুরে এলাকা),Student (স্টুডেন্ট),Joint Family (যৌথ পরিবার),2/3 Hours,Moderate (মাঝারি),Very Comfortable (খুব স্বাচ্ছন্দ্যবোধ করি),5.10',80Kg,30 minutes–1 hour (৩০ মিনিট–১ ঘন্টা),Sometimes (মাঝে মাঝে হয়),2,1 hour (এক ঘন্টা),Leisure Time (অবসর সময়),Sometimes (মাঝে মাঝে),6–8 hours (৬–৮ ঘণ্টা),Sometimes (মাঝে মাঝে),Rarely (খুব কম),Yes (হ্যাঁ),Decreased a lot (অনেকটা কমেছে),Decreased a lot (অনেকটা কমেছে),Decreased a lot (অনেকটা কমেছে),Very negative (খুব নেতিবাচক),Always (সবসময়),Never (কখনো না),No (না),No (না),No (না),Never (কখনো না),Ambivert (মাঝামাঝি),Sometimes (মাঝে মাঝে),Some Change (কিছুটা পরিবর্তন হয়),Not Sure (নিশ্চিত না),Never (কখনো না),No Stress (চাপ অনুভব হয় না),Not Sure (নিশ্চিত না),Do Not Lose Focus (মনোযোগ কমে না),Sometimes Interested (মাঝে মাঝে আগ্রহ হয়)
12/15/2025 1:13:01,25,Female(মেয়ে),Islam (ইসলাম),Unmarried (অবিবাহিত),Urban Area (শহুরে এলাকা),Student (স্টুডেন্ট),Single family(একক পরিবার ),0,Good (ভালো),Neutral (নিরপেক্ষ),"5'2""",41 kg,1–2 hours (১–২ ঘন্টা),Sometimes (মাঝে মাঝে হয়),4,2 hours (২ ঘন্টা),Leisure Time (অবসর সময়),Sometimes (মাঝে মাঝে),More than 8 hours (৮ ঘণ্টার বেশি),Yes (হ্যা),Rarely (খুব কম),No (না),Decreased a lot (অনেকটা কমেছে),Decreased a lot (অনেকটা কমেছে),Decreased a lot (অনেকটা কমেছে),Very negative (খুব নেতিবাচক),Often (প্রায়ই),Often (প্রায়ই),Sometimes (মাঝে মাঝে),No (না),Yes (হ্যাঁ),Sometimes (মাঝে মাঝে),Ambivert (মাঝামাঝি),Always (সবসময়),Some Change (কিছুটা পরিবর্তন হয়),Not Sure (নিশ্চিত না),Rarely (খুব কম),Low Stress (সামান্য চাপ অনুভব হয়),Slight Change in Sleep Quality (ঘুমের মান কিছুটা পরিবর্তিত হয়),Lose Focus Rarely (খুব কম মনোযোগ হারায়),Sometimes Interested (মাঝে মাঝে আগ্রহ হয়)
12/15/2025 1:14:15,23,Male(ছেলে),Islam (ইসলাম),Unmarried (অবিবাহিত),Urban Area (শহুরে এলাকা),Student (স্টুডেন্ট),Single family(একক পরিবার ),3,Good (ভালো),Somewhat Comfortable (কিছুটা স্বাচ্ছন্দ্যবোধ করি),6.2 ft,67kg,30 minutes–1 hour (৩০ মিনিট–১ ঘন্টা),Rarely (খুব কম হয়),4,1 hour (এক ঘন্টা),Leisure Time (অবসর সময়),Sometimes (মাঝে মাঝে),6–8 hours (৬–৮ ঘণ্টা),Sometimes (মাঝে মাঝে),Sometimes (মাঝে মাঝে),No (না),Decreased a little (কিছুটা কমেছে),Decreased a little (কিছুটা কমেছে),Decreased a little (কিছুটা কমেছে),Very negative (খুব নেতিবাচক),Sometimes (মাঝে মাঝে),Sometimes (মাঝে মাঝে),Sometimes (মাঝে মাঝে),No (না),No (না),Very Rarely (খুব কম),Ambivert (মাঝামাঝি),Sometimes (মাঝে মাঝে),Some Change (কিছুটা পরিবর্তন হয়),Negative Impact (নেতিবাচক প্রভাব),Sometimes (মাঝে মাঝে),Moderate Stress (মাঝারি চাপ অনুভব হয়),Slight Change in Sleep Quality (ঘুমের মান কিছুটা পরিবর্তিত হয়),Lose Focus Sometimes (মাঝে মাঝে মনোযোগ হারায়),Sometimes Interested (মাঝে মাঝে আগ্রহ হয়)
12/15/2025 9:57:10,25,Female(মেয়ে),Islam (ইসলাম),Unmarried (অবিবাহিত),Urban Area (শহুরে এলাকা),Student (স্টুডেন্ট),Single family(একক পরিবার ),4/5 hours or whole day,Moderate (মাঝারি),Neutral (নিরপেক্ষ),"5'3""",40,30 minutes–1 hour (৩০ মিনিট–১ ঘন্টা),Often (প্রায়ই হয়),3,1 hour (এক ঘন্টা),Leisure Time (অবসর সময়),No (না),6–8 hours (৬–৮ ঘণ্টা),No (না),Sometimes (মাঝে মাঝে),No (না),Decreased a little (কিছুটা কমেছে),Did not decrease (কমেনি),Did not decrease (কমেনি),Somewhat negative (কিছুটা নেতিবাচক),Always (সবসময়),Never (কখনো না),No (না),No (না),No (না),Sometimes (মাঝে মাঝে),Ambivert (মাঝামাঝি),Never (কখনো না),No Change (পরিবর্তন নেই),Not Sure (নিশ্চিত না),Rarely (খুব কম),No Stress (চাপ অনুভব হয় না),Slight Change in Sleep Quality (ঘুমের মান কিছুটা পরিবর্তিত হয়),Lose Focus Sometimes (মাঝে মাঝে মনোযোগ হারায়),Sometimes Interested (মাঝে মাঝে আগ্রহ হয়)
12/15/2025 10:00:53,25,Male(ছেলে),Islam (ইসলাম),Married (বিবাহিত),Urban Area (শহুরে এলাকা),Service Holder (চাকুরীজীবী),Single family(একক পরিবার ),4,Good (ভালো),Somewhat Comfortable (কিছুটা স্বাচ্ছন্দ্যবোধ করি),"5'10""",80,30 minutes–1 hour (৩০ মিনিট–১ ঘন্টা),Rarely (খুব কম হয়),3,1 hour (এক ঘন্টা),Before Sleeping (ঘুমানোর আগে),Sometimes (মাঝে মাঝে),6–8 hours (৬–৮ ঘণ্টা),Sometimes (মাঝে মাঝে),Regularly (নিয়মিতভাবে),No (না),Decreased a little (কিছুটা কমেছে),Decreased a little (কিছুটা কমেছে),Did not decrease (কমেনি),Somewhat negative (কিছুটা নেতিবাচক),Sometimes (মাঝে মাঝে),Sometimes (মাঝে মাঝে),No (না),Sometimes (মাঝে মাঝে),No (না),Very Rarely (খুব কম),Ambivert (মাঝামাঝি),Sometimes (মাঝে মাঝে),Some Change (কিছুটা পরিবর্তন হয়),Positive Impact (ইতিবাচক প্রভাব),Sometimes (মাঝে মাঝে),Low Stress (সামান্য চাপ অনুভব হয়),Sleep Quality Unchanged (ঘুমের মান অপরিবর্তিত থাকে),Lose Focus Rarely (খুব কম মনোযোগ হারায়),Rarely Interested (খুব কম আগ্রহ হয়)
12/15/2025 12:04:03,18,Female(মেয়ে),Islam (ইসলাম),Unmarried (অবিবাহিত),Rural Area (গ্রামীণ এলাকা),Student (স্টুডেন্ট),Single family(একক পরিবার ),2,Very Good (খুবই ভালো),Somewhat Comfortable (কিছুটা স্বাচ্ছন্দ্যবোধ করি),5 feet 5 inches ,50,30 minutes–1 hour (৩০ মিনিট–১ ঘন্টা),Rarely (খুব কম হয়),3,Less than 1 hour (এক ঘণ্টার কম),Leisure Time (অবসর সময়),"Yes, frequently (হ্যাঁ, প্রায়ই)",Less than 6 hours (৬ ঘণ্টার কম),No (না),Never (কখনো না),No (না),Did not decrease at all (একেবারেই কমেনি),Did not decrease at all (একেবারেই কমেনি),Did not decrease at all (একেবারেই কমেনি),Somewhat positive (কিছুটা ইতিবাচক),Always (সবসময়),Never (কখনো না),No (না),No (না),No (না),Sometimes (মাঝে মাঝে),Ambivert (মাঝামাঝি),Sometimes (মাঝে মাঝে),Major Change (বেশি পরিবর্তন হয়),Negative Impact (নেতিবাচক প্রভাব),Often (প্রায়শই),Moderate Stress (মাঝারি চাপ অনুভব হয়),Slight Change in Sleep Quality (ঘুমের মান কিছুটা পরিবর্তিত হয়),Lose Focus Sometimes (মাঝে মাঝে মনোযোগ হারায়),More Interest in Watching Reels (আরও রিলস দেখার আগ্রহ হয়)
12/15/2025 14:44:40,28,Female(মেয়ে),Islam (ইসলাম),Married (বিবাহিত),Urban Area (শহুরে এলাকা),Others (অন্যান্য),Joint Family (যৌথ পরিবার),3-4,Good (ভালো),Very Comfortable (খুব স্বাচ্ছন্দ্যবোধ করি),5',58,Less than 30 minutes (৩০ মিনিটের কম),Sometimes (মাঝে মাঝে হয়),2,Less than 1 hour (এক ঘণ্টার কম),Leisure Time (অবসর সময়),Sometimes (মাঝে মাঝে),6–8 hours (৬–৮ ঘণ্টা),Yes (হ্যা),Sometimes (মাঝে মাঝে),No (না),Decreased a little (কিছুটা কমেছে),Decreased a little (কিছুটা কমেছে),Did not decrease (কমেনি),Somewhat positive (কিছুটা ইতিবাচক),Sometimes (মাঝে মাঝে),Sometimes (মাঝে মাঝে),No (না),Sometimes (মাঝে মাঝে),Not Sure (নিশ্চিত না),Sometimes (মাঝে মাঝে),Ambivert (মাঝামাঝি),Never (কখনো না),Some Change (কিছুটা পরিবর্তন হয়),Not Sure (নিশ্চিত না),Rarely (খুব কম),Moderate Stress (মাঝারি চাপ অনুভব হয়),Poor Sleep Quality (ঘুমের মান খারাপ হয়),Lose Focus Rarely (খুব কম মনোযোগ হারায়),Sometimes Interested (মাঝে মাঝে আগ্রহ হয়)
